# Open,High,Low,Volume,Close
445.848846,447.547485,442.884949,2768600,443.662048
446.072998,446.247345,440.992065,2987000,444.6633
443.617218,446.087952,443.338257,2657200,443.54248
441.794037,441.843872,439.178864,2764200,441.101654
441.759186,442.591064,436.46402,2850200,438.979584
437.544983,438.471497,431.960907,4179900,433.280945
430.605988,430.845093,427.39801,3752300,428.224915
429.031891,429.609711,426.670746,3362700,426.855042
427.25354,434.371857,427.124023,3635300,431.20871
432.55368,434.426666,430.157654,2475100,431.094147
433.699402,436.817688,431.632141,3527700,433.04184
434.720551,435.74173,433.500122,1746200,435.223663
437.27597,437.360657,433.251068,2162200,433.480225
433.37561,435.816467,431.40799,2112800,431.577332
428.204987,430.252319,422.366852,3481100,423.487671
423.537476,426.107849,422.302094,2669700,422.690643
422.949677,428.583557,422.710571,2968000,426.117798
426.282196,427.417938,421.201233,3737100,421.868744
425.584808,431.477722,425.380554,4110400,428.583557
428.568634,435.11908,425.988281,4097600,434.187561
435.11908,438.29715,434.177582,2592100,438.137756
439.572388,440.239868,435.238617,3134800,438.147705
440.214966,443.213715,439.562408,2478300,442.366913
443.348236,444.334534,440.349457,2584700,442.675751
442.610992,446.810242,441.38559,3233200,446.421692
447.024445,447.273499,443.343231,2199100,444.862549
445.579865,446.167664,440.767883,2660600,442.875
446.426697,446.825195,440.782837,2682900,442.222443
442.048096,442.536255,438.855072,2528200,441.400513
441.520081,450.29718,439.8862,3883800,449.973389
451.303406,451.303406,446.028168,3207600,447.517609
447.517609,450.376892,446.137756,8723000,449.868774
446.401764,449.111633,440.947235,3568000,441.594788
441.594788,443.388062,439.054321,2984600,441.76416
441.61969,441.61969,436.165161,3310200,436.977112
437.510101,439.726807,435.866272,2529200,437.445343
435.776611,437.121552,434.028168,2527000,436.558685
432.917328,438.77536,432.533752,3457600,436.31958
438.481476,442.177612,438.381836,3382100,441.843872
439.716827,443.01944,437.270996,3001700,442.337006
442.34198,445.380615,434.421692,4249800,436.409241
435.866272,437.116577,433.37561,2726100,434.546204
432.105377,435.363159,430.441589,2596800,431.253571
431.044342,431.373108,424.224915,3901800,425.241089
426.541229,429.714325,419.916046,5322400,426.332001
430.307098,432.792786,428.498871,4527400,432.498901
431.39801,435.1091,431.034363,2828300,434.366882
431.711853,436.488922,431.079224,2496400,436.419189
436.244843,441.161407,435.368134,3195600,439.358185
441.280975,447.487701,440.354431,4030200,447.338257
444.827667,446.775391,441.211243,8545000,442.735504
486.466614,505.834015,485.181427,23219400,503.816559
503.841492,507.597412,497.908722,7283700,499.776703
500.623535,504.608612,496.035736,4433700,501.619812
498.631012,515.442993,498.446686,5346300,513.779236
514.008362,518.342102,510.486572,4199700,510.860168
512.489075,512.489075,503.482819,4076100,505.704498
505.704498,509.804138,504.603607,2326000,505.604858
507.647217,516.533875,504.857666,3222000,516.185181
516.778015,516.81781,511.08432,2658000,513.286072
512.543884,518.815369,510.07312,3292200,513.365784
513.968506,516.065674,510.636017,2576100,511.602386
513.824036,514.257446,509.10675,2286000,511.13913
508.269867,513.898804,506.810364,2371500,508.852692
510.885071,511.582458,505.789185,1832600,509.465393
509.39566,510.053192,501.938599,3371700,502.093018
502.491547,507.348328,502.367004,2591100,506.11795
502.870117,506.068146,502.11795,2233500,503.408112
501.968506,506.880096,500.623535,2445200,504.000885
501.49527,514.496521,501.370728,3170500,514.307251
515.029541,517.933655,513.251221,2342100,515.682068
515.502747,517.061951,513.231262,2562100,514.85022
515.941101,522.411865,512.698303,3532500,513.848938
513.933655,515.442993,509.614838,2271600,510.685822
513.051941,514.75061,508.274872,1934500,509.246216
511.582458,517.21637,511.08432,2191700,515.104248
514.780457,516.15033,512.688293,2517700,514.018311
516.643494,524.62854,515.577515,3238000,521.012146
522.342163,528.768066,519.522705,4589600,527.228821
529.032043,532.00592,528.020874,2255500,529.570068
529.096802,531.318481,527.746887,2394400,527.816589
529.769287,531.184021,523.418091,2756600,525.271179
523.512756,529.734436,522.551331,3364700,524.663452
523.721985,530.003418,523.03949,2392000,527.114258
526.626099,527.851501,523.582458,2275800,526.695801
532.897583,533.002197,528.060669,2868200,532.937439
533.4953,539.134216,532.015869,2976200,537.057007
536.065674,544.11554,535.81665,3721600,540.30481
541.669678,543.622375,535.577515,3436400,536.633545
537.769287,539.447998,532.504028,3204800,532.982239
535.692078,536.135437,526.969788,4340900,528.414368
530.013367,535.33844,529.022095,3216000,534.486633
534.406921,538.362061,532.19519,3082800,532.932434
533.923706,540.44928,527.542664,4437100,540.349609
538.367065,543.956116,537.525208,3343800,541.081909
542.117981,548.528992,541.968567,6547600,548.255005
551.851501,555.81665,550.496582,3456000,555.467957
555.403198,555.53772,551.981018,1473800,553.844055
554.924988,557.410706,552.274963,2685500,556.643555
557.908813,558.048279,554.392029,3151100,557.111816
558.078186,558.157898,552.439331,2481300,552.658508
554.043335,558.406982,551.064453,2725900,558.262512
555.647278,556.788025,552.06073,3656400,554.481689
555.418152,556.379578,550.401978,3345800,550.436829
554.42688,557.340942,551.154114,3551800,556.573853
560.399475,567.717041,558.486633,5124300,567.303589
570.860291,571.517822,564.528992,4501700,568.484192
569.585083,569.973572,560.678467,4184500,563.009705
567.413208,567.413208,559.029602,4302900,562.979797
561.131714,571.313599,556.499084,4855800,559.39325
566.850281,573.350952,561.938721,4983700,572.553955
574.342224,575.343445,569.759399,3915000,572.165405
572.40448,576.802979,571.856567,3380300,575.951172
576.265015,578.147949,569.963623,5422800,573.116821
578.297424,579.82666,573.500366,3974500,579.677246
581.12677,581.764404,577.266235,3154500,580.334778
577.834106,579.074463,575.029663,3912700,577.883972
573.355896,574.621155,559.403198,7814000,559.81665
560.947449,561.146667,539.114258,8739800,548.558838
553.086914,560.773071,552.897583,4436900,559.408203
557.470459,558.780579,547.657227,4777500,551.39325
570.362122,574.09314,561.520264,10220800,565.575073
583.487915,591.054565,573.41571,11174200,588.279968
587.398315,588.653564,563.891418,9172400,564.598755
566.870239,575.343445,566.38208,5644800,566.954895
569.555176,573.236389,561.90387,4806800,569.465515
573.41571,577.913818,571.632385,3907600,577.814209
581.634888,586.750732,578.113098,5292000,586.521545
583.712097,588.99231,582.327271,3904800,584.274963
